resource_id,title,description,topics,difficulty,format,duration_minutes,cost_type,price_usd,provider,quality_score,accessibility_score,has_captions,has_transcript,prerequisites,language,resource_url,popularity_score
R0150,Statistics Essentials 150,An original beginner learning resource that develops statistics concepts through video activities and connects them with computer vision practice.,Statistics|Computer vision,Beginner,Video,60,Free,0.0,Willow Learning,0.609,0.803,True,True,None,English,https://example.org/learnbridge/resources/R0150,0.231
R0151,Cloud computing Practice Lab 151,An original advanced learning resource that develops cloud computing concepts through interactive exercise activities and connects them with mathematics practice.,Cloud computing|Mathematics,Advanced,Interactive exercise,240,Free,0.0,Lumen Learning,0.846,0.993,True,True,Statistics,English,https://example.org/learnbridge/resources/R0151,0.326
R0152,Cloud computing Concept Clinic 152,An original advanced learning resource that develops cloud computing concepts through tutorial activities and connects them with mathematics practice.,Cloud computing|Mathematics,Advanced,Tutorial,30,Free,0.0,Bridge Learning,0.673,0.989,True,True,Cloud computing,English,https://example.org/learnbridge/resources/R0152,0.375
R0153,Software engineering Essentials 153,An original intermediate learning resource that develops software engineering concepts through video activities and connects them with deep learning practice.,Software engineering|Deep learning,Intermediate,Video,360,Free,0.0,Harbor Learning,0.459,0.803,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0153,0.463
R0154,Data science Field Guide 154,An original intermediate learning resource that develops data science concepts through article activities and connects them with machine learning practice.,Data science|Machine learning,Intermediate,Article,360,Free,0.0,Circuit Learning,0.493,0.85,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0154,0.367
R0155,Data science Essentials 155,An original advanced learning resource that develops data science concepts through practice quiz activities and connects them with mathematics practice.,Data science|Mathematics,Advanced,Practice quiz,30,Paid,39.0,Orbit Learning,0.794,0.881,True,True,Statistics,English,https://example.org/learnbridge/resources/R0155,0.716
R0156,Data science Foundations 156,An original advanced learning resource that develops data science concepts through article activities and connects them with software engineering practice.,Data science|Software engineering,Advanced,Article,480,Free,0.0,Summit Learning,0.936,0.895,True,True,Data science,English,https://example.org/learnbridge/resources/R0156,0.339
R0157,Computer vision Essentials 157,An original beginner learning resource that develops computer vision concepts through tutorial activities and connects them with data science practice.,Computer vision|Data science,Beginner,Tutorial,180,Free,0.0,Quill Learning,0.657,0.935,True,True,None,English,https://example.org/learnbridge/resources/R0157,0.475
R0158,Mathematics Concept Clinic 158,An original beginner learning resource that develops mathematics concepts through course activities and connects them with nlp practice.,Mathematics|NLP,Beginner,Course,30,Free,0.0,Circuit Learning,0.973,0.868,True,True,None,English,https://example.org/learnbridge/resources/R0158,0.218
R0159,Statistics Concept Clinic 159,An original intermediate learning resource that develops statistics concepts through course activities and connects them with computer vision practice.,Statistics|Computer vision,Intermediate,Course,480,Free,0.0,Harbor Learning,0.881,0.932,True,True,Statistics,English,https://example.org/learnbridge/resources/R0159,0.186
R0160,NLP Workshop 160,An original beginner learning resource that develops nlp concepts through video activities and connects them with computer vision practice.,NLP|Computer vision,Beginner,Video,240,Paid,9.0,Lumen Learning,0.683,0.854,True,True,None,English,https://example.org/learnbridge/resources/R0160,0.686
R0161,Cloud computing Practice Lab 161,An original intermediate learning resource that develops cloud computing concepts through project activities and connects them with data science practice.,Cloud computing|Data science,Intermediate,Project,180,Free,0.0,Cedar Learning,0.841,0.802,True,True,Statistics,English,https://example.org/learnbridge/resources/R0161,0.581
R0162,Responsible AI Workshop 162,An original beginner learning resource that develops responsible ai concepts through interactive exercise activities and connects them with computer vision practice.,Responsible AI|Computer vision,Beginner,Interactive exercise,240,Free,0.0,Willow Learning,0.599,0.829,True,True,None,English,https://example.org/learnbridge/resources/R0162,0.374
R0163,Mathematics Practice Lab 163,An original intermediate learning resource that develops mathematics concepts through tutorial activities and connects them with responsible ai practice.,Mathematics|Responsible AI,Intermediate,Tutorial,30,Free,0.0,Quill Learning,0.904,0.827,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0163,0.385
R0164,Responsible AI Workshop 164,An original beginner learning resource that develops responsible ai concepts through interactive exercise activities and connects them with software engineering practice.,Responsible AI|Software engineering,Beginner,Interactive exercise,60,Free,0.0,Circuit Learning,0.973,0.896,True,True,None,English,https://example.org/learnbridge/resources/R0164,0.315
R0165,Statistics Essentials 165,An original beginner learning resource that develops statistics concepts through project activities and connects them with computer vision practice.,Statistics|Computer vision,Beginner,Project,120,Paid,15.0,Nexus Learning,0.547,0.823,True,True,None,English,https://example.org/learnbridge/resources/R0165,0.693
R0166,Mathematics Workshop 166,An original advanced learning resource that develops mathematics concepts through project activities and connects them with data science practice.,Mathematics|Data science,Advanced,Project,240,Paid,25.0,Atlas Learning,0.836,0.828,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0166,0.353
R0167,NLP Essentials 167,An original intermediate learning resource that develops nlp concepts through video activities and connects them with software engineering practice.,NLP|Software engineering,Intermediate,Video,60,Free,0.0,Circuit Learning,0.972,0.871,True,True,NLP,English,https://example.org/learnbridge/resources/R0167,0.566
R0168,Statistics Practice Lab 168,An original intermediate learning resource that develops statistics concepts through tutorial activities and connects them with software engineering practice.,Statistics|Software engineering,Intermediate,Tutorial,480,Free,0.0,Beacon Learning,0.867,0.844,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0168,0.543
R0169,Data science Concept Clinic 169,An original beginner learning resource that develops data science concepts through video activities and connects them with nlp practice.,Data science|NLP,Beginner,Video,45,Free,0.0,Sprout Learning,0.731,0.869,True,True,None,English,https://example.org/learnbridge/resources/R0169,0.254
R0170,Data science Applied Path 170,An original beginner learning resource that develops data science concepts through practice quiz activities and connects them with nlp practice.,Data science|NLP,Beginner,Practice quiz,120,Free,0.0,Lumen Learning,0.952,0.93,True,True,None,English,https://example.org/learnbridge/resources/R0170,0.541
R0171,Computer vision Practice Lab 171,An original beginner learning resource that develops computer vision concepts through course activities and connects them with cloud computing practice.,Computer vision|Cloud computing,Beginner,Course,45,Free,0.0,Circuit Learning,0.466,0.928,True,True,None,English,https://example.org/learnbridge/resources/R0171,0.444
R0172,Mathematics Concept Clinic 172,An original beginner learning resource that develops mathematics concepts through project activities and connects them with statistics practice.,Mathematics|Statistics,Beginner,Project,30,Paid,59.0,Lumen Learning,0.648,0.915,True,True,None,English,https://example.org/learnbridge/resources/R0172,0.199
R0173,Responsible AI Essentials 173,An original intermediate learning resource that develops responsible ai concepts through tutorial activities and connects them with nlp practice.,Responsible AI|NLP,Intermediate,Tutorial,30,Free,0.0,Lumen Learning,0.889,0.87,True,True,Statistics,English,https://example.org/learnbridge/resources/R0173,0.489
R0174,Machine learning Essentials 174,An original beginner learning resource that develops machine learning concepts through interactive exercise activities and connects them with computer vision practice.,Machine learning|Computer vision,Beginner,Interactive exercise,120,Free,0.0,Circuit Learning,0.676,0.939,True,True,None,English,https://example.org/learnbridge/resources/R0174,0.344
R0175,Mathematics Field Guide 175,An original advanced learning resource that develops mathematics concepts through article activities and connects them with responsible ai practice.,Mathematics|Responsible AI,Advanced,Article,240,Free,0.0,Beacon Learning,0.784,0.858,True,True,Python,English,https://example.org/learnbridge/resources/R0175,0.674
R0176,Computer vision Practice Lab 176,An original intermediate learning resource that develops computer vision concepts through course activities and connects them with software engineering practice.,Computer vision|Software engineering,Intermediate,Course,240,Free,0.0,Lumen Learning,0.495,0.883,True,True,Statistics,English,https://example.org/learnbridge/resources/R0176,0.144
R0177,Cloud computing Foundations 177,An original beginner learning resource that develops cloud computing concepts through course activities and connects them with sql practice.,Cloud computing|SQL,Beginner,Course,240,Free,0.0,Nova Learning,0.595,0.91,True,True,None,English,https://example.org/learnbridge/resources/R0177,0.428
R0178,Mathematics Practice Lab 178,An original intermediate learning resource that develops mathematics concepts through course activities and connects them with deep learning practice.,Mathematics|Deep learning,Intermediate,Course,60,Free,0.0,Summit Learning,0.638,0.86,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0178,0.736
R0179,Software engineering Concept Clinic 179,An original advanced learning resource that develops software engineering concepts through tutorial activities and connects them with nlp practice.,Software engineering|NLP,Advanced,Tutorial,45,Free,0.0,Sprout Learning,0.885,0.923,True,True,Python,English,https://example.org/learnbridge/resources/R0179,0.418
R0180,Mathematics Applied Path 180,An original beginner learning resource that develops mathematics concepts through interactive exercise activities and connects them with sql practice.,Mathematics|SQL,Beginner,Interactive exercise,360,Paid,9.0,Atlas Learning,0.97,0.997,True,True,None,English,https://example.org/learnbridge/resources/R0180,0.779
R0181,Statistics Applied Path 181,An original intermediate learning resource that develops statistics concepts through project activities and connects them with machine learning practice.,Statistics|Machine learning,Intermediate,Project,180,Free,0.0,Willow Learning,0.653,0.898,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0181,0.099
R0182,Mathematics Concept Clinic 182,An original intermediate learning resource that develops mathematics concepts through interactive exercise activities and connects them with sql practice.,Mathematics|SQL,Intermediate,Interactive exercise,240,Free,0.0,Cedar Learning,0.845,0.865,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0182,0.465
R0183,Cloud computing Concept Clinic 183,An original beginner learning resource that develops cloud computing concepts through course activities and connects them with computer vision practice.,Cloud computing|Computer vision,Beginner,Course,240,Paid,25.0,Quill Learning,0.746,0.854,True,True,None,English,https://example.org/learnbridge/resources/R0183,0.127
R0184,Python Concept Clinic 184,An original beginner learning resource that develops python concepts through project activities and connects them with data science practice.,Python|Data science,Beginner,Project,20,Paid,15.0,Beacon Learning,0.697,0.825,True,True,None,English,https://example.org/learnbridge/resources/R0184,0.853
R0185,Data science Practice Lab 185,An original intermediate learning resource that develops data science concepts through practice quiz activities and connects them with computer vision practice.,Data science|Computer vision,Intermediate,Practice quiz,180,Free,0.0,Cedar Learning,0.83,0.925,True,True,Python,English,https://example.org/learnbridge/resources/R0185,0.04
R0186,Responsible AI Practice Lab 186,An original beginner learning resource that develops responsible ai concepts through practice quiz activities and connects them with deep learning practice.,Responsible AI|Deep learning,Beginner,Practice quiz,30,Free,0.0,Atlas Learning,0.708,0.998,True,True,None,English,https://example.org/learnbridge/resources/R0186,0.326
R0187,Computer vision Practice Lab 187,An original intermediate learning resource that develops computer vision concepts through practice quiz activities and connects them with machine learning practice.,Computer vision|Machine learning,Intermediate,Practice quiz,360,Free,0.0,Mosaic Learning,0.84,0.913,True,True,Python,English,https://example.org/learnbridge/resources/R0187,0.533
R0188,Statistics Practice Lab 188,An original advanced learning resource that develops statistics concepts through article activities and connects them with data science practice.,Statistics|Data science,Advanced,Article,480,Paid,25.0,Atlas Learning,0.584,0.946,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0188,0.458
R0189,SQL Applied Path 189,An original advanced learning resource that develops sql concepts through practice quiz activities and connects them with python practice.,SQL|Python,Advanced,Practice quiz,60,Paid,39.0,Harbor Learning,0.799,0.904,True,True,Python,English,https://example.org/learnbridge/resources/R0189,0.712
R0190,Statistics Field Guide 190,An original intermediate learning resource that develops statistics concepts through video activities and connects them with cloud computing practice.,Statistics|Cloud computing,Intermediate,Video,20,Free,0.0,Nexus Learning,0.819,0.376,False,False,Statistics,English,https://example.org/learnbridge/resources/R0190,0.817
R0191,Python Applied Path 191,An original advanced learning resource that develops python concepts through course activities and connects them with data science practice.,Python|Data science,Advanced,Course,360,Free,0.0,Circuit Learning,0.495,0.953,True,True,Statistics,English,https://example.org/learnbridge/resources/R0191,0.549
R0192,Cloud computing Field Guide 192,An original advanced learning resource that develops cloud computing concepts through article activities and connects them with statistics practice.,Cloud computing|Statistics,Advanced,Article,180,Free,0.0,Willow Learning,0.844,0.917,True,True,Cloud computing,English,https://example.org/learnbridge/resources/R0192,0.181
R0193,SQL Workshop 193,An original intermediate learning resource that develops sql concepts through practice quiz activities and connects them with mathematics practice.,SQL|Mathematics,Intermediate,Practice quiz,20,Free,0.0,Forge Learning,0.965,0.942,True,True,SQL,English,https://example.org/learnbridge/resources/R0193,0.335
R0194,Machine learning Field Guide 194,An original intermediate learning resource that develops machine learning concepts through video activities and connects them with nlp practice.,Machine learning|NLP,Intermediate,Video,20,Paid,59.0,Cedar Learning,0.718,0.886,True,True,Machine learning,English,https://example.org/learnbridge/resources/R0194,0.614
R0195,Software engineering Workshop 195,An original intermediate learning resource that develops software engineering concepts through article activities and connects them with mathematics practice.,Software engineering|Mathematics,Intermediate,Article,20,Paid,9.0,Forge Learning,0.647,0.809,True,True,Software engineering,English,https://example.org/learnbridge/resources/R0195,0.541
R0196,Statistics Essentials 196,An original advanced learning resource that develops statistics concepts through interactive exercise activities and connects them with deep learning practice.,Statistics|Deep learning,Advanced,Interactive exercise,30,Free,0.0,Orbit Learning,0.547,0.914,True,True,Statistics,English,https://example.org/learnbridge/resources/R0196,0.627
R0197,SQL Concept Clinic 197,An original beginner learning resource that develops sql concepts through course activities and connects them with computer vision practice.,SQL|Computer vision,Beginner,Course,60,Free,0.0,Harbor Learning,0.849,0.858,True,True,None,English,https://example.org/learnbridge/resources/R0197,0.075
R0198,Statistics Applied Path 198,An original intermediate learning resource that develops statistics concepts through article activities and connects them with software engineering practice.,Statistics|Software engineering,Intermediate,Article,180,Free,0.0,Bridge Learning,0.964,0.805,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0198,0.01
R0199,Data science Applied Path 199,An original intermediate learning resource that develops data science concepts through article activities and connects them with sql practice.,Data science|SQL,Intermediate,Article,20,Free,0.0,Summit Learning,0.5,0.995,True,True,Python,English,https://example.org/learnbridge/resources/R0199,0.729
R0200,NLP Essentials 200,An original advanced learning resource that develops nlp concepts through video activities and connects them with cloud computing practice.,NLP|Cloud computing,Advanced,Video,360,Free,0.0,Orbit Learning,0.685,0.964,True,True,NLP,English,https://example.org/learnbridge/resources/R0200,0.183
R0201,Mathematics Concept Clinic 201,An original beginner learning resource that develops mathematics concepts through interactive exercise activities and connects them with nlp practice.,Mathematics|NLP,Beginner,Interactive exercise,60,Free,0.0,Nova Learning,0.534,0.827,True,True,None,English,https://example.org/learnbridge/resources/R0201,0.264
R0202,Statistics Applied Path 202,An original beginner learning resource that develops statistics concepts through interactive exercise activities and connects them with cloud computing practice.,Statistics|Cloud computing,Beginner,Interactive exercise,30,Paid,25.0,Orbit Learning,0.566,0.832,True,True,None,English,https://example.org/learnbridge/resources/R0202,0.591
R0203,SQL Foundations 203,An original advanced learning resource that develops sql concepts through article activities and connects them with nlp practice.,SQL|NLP,Advanced,Article,180,Free,0.0,Beacon Learning,0.505,0.971,True,True,Python,English,https://example.org/learnbridge/resources/R0203,0.227
R0204,Computer vision Foundations 204,An original intermediate learning resource that develops computer vision concepts through practice quiz activities and connects them with nlp practice.,Computer vision|NLP,Intermediate,Practice quiz,480,Free,0.0,Cedar Learning,0.557,0.852,True,True,Computer vision,English,https://example.org/learnbridge/resources/R0204,0.739
R0205,NLP Applied Path 205,An original beginner learning resource that develops nlp concepts through course activities and connects them with data science practice.,NLP|Data science,Beginner,Course,480,Free,0.0,Circuit Learning,0.718,0.887,True,True,None,English,https://example.org/learnbridge/resources/R0205,0.425
R0206,SQL Practice Lab 206,An original intermediate learning resource that develops sql concepts through article activities and connects them with nlp practice.,SQL|NLP,Intermediate,Article,480,Free,0.0,Willow Learning,0.927,0.923,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0206,0.464
R0207,Responsible AI Concept Clinic 207,An original beginner learning resource that develops responsible ai concepts through project activities and connects them with cloud computing practice.,Responsible AI|Cloud computing,Beginner,Project,20,Free,0.0,Mosaic Learning,0.709,0.998,True,True,None,English,https://example.org/learnbridge/resources/R0207,0.565
R0208,SQL Practice Lab 208,An original beginner learning resource that develops sql concepts through tutorial activities and connects them with machine learning practice.,SQL|Machine learning,Beginner,Tutorial,90,Free,0.0,Compass Learning,0.643,0.812,True,True,None,English,https://example.org/learnbridge/resources/R0208,0.649
R0209,Statistics Essentials 209,An original intermediate learning resource that develops statistics concepts through project activities and connects them with nlp practice.,Statistics|NLP,Intermediate,Project,20,Paid,39.0,Mosaic Learning,0.955,0.953,True,True,Python,English,https://example.org/learnbridge/resources/R0209,0.196
R0210,Software engineering Concept Clinic 210,An original intermediate learning resource that develops software engineering concepts through interactive exercise activities and connects them with python practice.,Software engineering|Python,Intermediate,Interactive exercise,480,Paid,39.0,Nexus Learning,0.617,0.828,True,True,Python,English,https://example.org/learnbridge/resources/R0210,0.551
R0211,Cloud computing Workshop 211,An original beginner learning resource that develops cloud computing concepts through tutorial activities and connects them with deep learning practice.,Cloud computing|Deep learning,Beginner,Tutorial,45,Free,0.0,Quill Learning,0.482,0.868,True,True,None,English,https://example.org/learnbridge/resources/R0211,0.388
R0212,Cloud computing Field Guide 212,An original advanced learning resource that develops cloud computing concepts through interactive exercise activities and connects them with nlp practice.,Cloud computing|NLP,Advanced,Interactive exercise,180,Paid,25.0,Atlas Learning,0.977,0.917,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0212,0.495
R0213,NLP Applied Path 213,An original intermediate learning resource that develops nlp concepts through tutorial activities and connects them with machine learning practice.,NLP|Machine learning,Intermediate,Tutorial,480,Paid,59.0,Lumen Learning,0.654,0.957,True,True,Python,English,https://example.org/learnbridge/resources/R0213,0.464
R0214,Software engineering Essentials 214,An original beginner learning resource that develops software engineering concepts through interactive exercise activities and connects them with python practice.,Software engineering|Python,Beginner,Interactive exercise,480,Paid,9.0,Forge Learning,0.526,0.844,True,True,None,English,https://example.org/learnbridge/resources/R0214,0.469
R0215,NLP Concept Clinic 215,An original beginner learning resource that develops nlp concepts through article activities and connects them with cloud computing practice.,NLP|Cloud computing,Beginner,Article,30,Free,0.0,Nova Learning,0.839,0.87,True,True,None,English,https://example.org/learnbridge/resources/R0215,0.144
R0216,Computer vision Workshop 216,An original advanced learning resource that develops computer vision concepts through interactive exercise activities and connects them with cloud computing practice.,Computer vision|Cloud computing,Advanced,Interactive exercise,30,Free,0.0,Beacon Learning,0.49,0.966,True,True,Python,English,https://example.org/learnbridge/resources/R0216,0.6
R0217,Computer vision Applied Path 217,An original intermediate learning resource that develops computer vision concepts through tutorial activities and connects them with machine learning practice.,Computer vision|Machine learning,Intermediate,Tutorial,30,Paid,9.0,Willow Learning,0.959,0.868,True,True,Statistics,English,https://example.org/learnbridge/resources/R0217,0.392
R0218,Statistics Field Guide 218,An original beginner learning resource that develops statistics concepts through tutorial activities and connects them with sql practice.,Statistics|SQL,Beginner,Tutorial,360,Paid,25.0,Pixel Learning,0.502,0.853,True,True,None,English,https://example.org/learnbridge/resources/R0218,0.371
R0219,Python Foundations 219,An original beginner learning resource that develops python concepts through project activities and connects them with deep learning practice.,Python|Deep learning,Beginner,Project,480,Free,0.0,Bridge Learning,0.562,0.896,True,True,None,English,https://example.org/learnbridge/resources/R0219,0.511
R0220,Computer vision Practice Lab 220,An original intermediate learning resource that develops computer vision concepts through practice quiz activities and connects them with cloud computing practice.,Computer vision|Cloud computing,Intermediate,Practice quiz,360,Free,0.0,Mosaic Learning,0.551,0.878,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0220,0.181
R0221,Software engineering Concept Clinic 221,An original beginner learning resource that develops software engineering concepts through practice quiz activities and connects them with python practice.,Software engineering|Python,Beginner,Practice quiz,30,Free,0.0,Nexus Learning,0.674,0.934,True,True,None,English,https://example.org/learnbridge/resources/R0221,0.822
R0222,Cloud computing Practice Lab 222,An original advanced learning resource that develops cloud computing concepts through practice quiz activities and connects them with computer vision practice.,Cloud computing|Computer vision,Advanced,Practice quiz,240,Paid,25.0,Cedar Learning,0.663,0.915,True,True,Python,English,https://example.org/learnbridge/resources/R0222,0.43
R0223,Machine learning Workshop 223,An original advanced learning resource that develops machine learning concepts through course activities and connects them with data science practice.,Machine learning|Data science,Advanced,Course,45,Free,0.0,Orbit Learning,0.679,0.994,True,True,Python,English,https://example.org/learnbridge/resources/R0223,0.894
R0224,Computer vision Essentials 224,An original beginner learning resource that develops computer vision concepts through interactive exercise activities and connects them with software engineering practice.,Computer vision|Software engineering,Beginner,Interactive exercise,20,Free,0.0,Compass Learning,0.872,0.957,True,True,None,English,https://example.org/learnbridge/resources/R0224,0.175
R0225,Data science Essentials 225,An original intermediate learning resource that develops data science concepts through video activities and connects them with machine learning practice.,Data science|Machine learning,Intermediate,Video,360,Paid,59.0,Forge Learning,0.47,0.403,False,False,Statistics,English,https://example.org/learnbridge/resources/R0225,0.263
R0226,Python Field Guide 226,An original advanced learning resource that develops python concepts through interactive exercise activities and connects them with deep learning practice.,Python|Deep learning,Advanced,Interactive exercise,20,Paid,9.0,Quill Learning,0.891,0.949,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0226,0.322
R0227,Data science Practice Lab 227,An original beginner learning resource that develops data science concepts through practice quiz activities and connects them with sql practice.,Data science|SQL,Beginner,Practice quiz,120,Free,0.0,Cedar Learning,0.551,0.854,True,True,None,English,https://example.org/learnbridge/resources/R0227,0.183
R0228,NLP Workshop 228,An original intermediate learning resource that develops nlp concepts through article activities and connects them with python practice.,NLP|Python,Intermediate,Article,360,Free,0.0,Sprout Learning,0.923,0.881,True,True,NLP,English,https://example.org/learnbridge/resources/R0228,0.309
R0229,NLP Essentials 229,An original intermediate learning resource that develops nlp concepts through practice quiz activities and connects them with cloud computing practice.,NLP|Cloud computing,Intermediate,Practice quiz,20,Paid,39.0,Lumen Learning,0.969,0.848,True,True,Statistics,English,https://example.org/learnbridge/resources/R0229,0.481
R0230,SQL Workshop 230,An original beginner learning resource that develops sql concepts through course activities and connects them with data science practice.,SQL|Data science,Beginner,Course,480,Free,0.0,Pixel Learning,0.8,0.956,True,True,None,English,https://example.org/learnbridge/resources/R0230,0.564
R0231,Responsible AI Field Guide 231,An original intermediate learning resource that develops responsible ai concepts through article activities and connects them with python practice.,Responsible AI|Python,Intermediate,Article,480,Free,0.0,Harbor Learning,0.835,0.96,True,True,Python,English,https://example.org/learnbridge/resources/R0231,0.313
R0232,Deep learning Foundations 232,An original beginner learning resource that develops deep learning concepts through interactive exercise activities and connects them with sql practice.,Deep learning|SQL,Beginner,Interactive exercise,480,Free,0.0,Bridge Learning,0.726,0.879,True,True,None,English,https://example.org/learnbridge/resources/R0232,0.571
R0233,Software engineering Field Guide 233,An original beginner learning resource that develops software engineering concepts through video activities and connects them with sql practice.,Software engineering|SQL,Beginner,Video,120,Free,0.0,Harbor Learning,0.552,0.522,False,False,None,English,https://example.org/learnbridge/resources/R0233,0.728
R0234,Software engineering Field Guide 234,An original intermediate learning resource that develops software engineering concepts through practice quiz activities and connects them with computer vision practice.,Software engineering|Computer vision,Intermediate,Practice quiz,20,Free,0.0,Willow Learning,0.668,0.931,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0234,0.631
R0235,Responsible AI Concept Clinic 235,An original intermediate learning resource that develops responsible ai concepts through course activities and connects them with cloud computing practice.,Responsible AI|Cloud computing,Intermediate,Course,120,Paid,59.0,Lumen Learning,0.609,0.901,True,True,Python,English,https://example.org/learnbridge/resources/R0235,0.308
R0236,Machine learning Practice Lab 236,An original advanced learning resource that develops machine learning concepts through practice quiz activities and connects them with mathematics practice.,Machine learning|Mathematics,Advanced,Practice quiz,120,Free,0.0,Quill Learning,0.651,0.845,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0236,0.685
R0237,Responsible AI Essentials 237,An original intermediate learning resource that develops responsible ai concepts through tutorial activities and connects them with software engineering practice.,Responsible AI|Software engineering,Intermediate,Tutorial,60,Free,0.0,Harbor Learning,0.673,0.9,True,True,Statistics,English,https://example.org/learnbridge/resources/R0237,0.406
R0238,Statistics Applied Path 238,An original intermediate learning resource that develops statistics concepts through article activities and connects them with machine learning practice.,Statistics|Machine learning,Intermediate,Article,30,Free,0.0,Willow Learning,0.668,0.826,True,True,Statistics,English,https://example.org/learnbridge/resources/R0238,0.138
R0239,NLP Field Guide 239,An original beginner learning resource that develops nlp concepts through practice quiz activities and connects them with software engineering practice.,NLP|Software engineering,Beginner,Practice quiz,60,Free,0.0,Harbor Learning,0.52,0.845,True,True,None,English,https://example.org/learnbridge/resources/R0239,0.538
R0240,SQL Field Guide 240,An original intermediate learning resource that develops sql concepts through tutorial activities and connects them with nlp practice.,SQL|NLP,Intermediate,Tutorial,120,Free,0.0,Forge Learning,0.644,0.887,True,True,Python,English,https://example.org/learnbridge/resources/R0240,0.364
R0241,Machine learning Practice Lab 241,An original intermediate learning resource that develops machine learning concepts through tutorial activities and connects them with sql practice.,Machine learning|SQL,Intermediate,Tutorial,30,Free,0.0,Summit Learning,0.866,0.873,True,True,Machine learning,English,https://example.org/learnbridge/resources/R0241,0.786
R0242,Python Applied Path 242,An original intermediate learning resource that develops python concepts through course activities and connects them with data science practice.,Python|Data science,Intermediate,Course,30,Free,0.0,Atlas Learning,0.561,0.909,True,True,Statistics,English,https://example.org/learnbridge/resources/R0242,0.373
R0243,Mathematics Foundations 243,An original beginner learning resource that develops mathematics concepts through video activities and connects them with machine learning practice.,Mathematics|Machine learning,Beginner,Video,480,Free,0.0,Forge Learning,0.557,0.823,True,True,None,English,https://example.org/learnbridge/resources/R0243,0.249
R0244,Mathematics Workshop 244,An original beginner learning resource that develops mathematics concepts through video activities and connects them with computer vision practice.,Mathematics|Computer vision,Beginner,Video,60,Free,0.0,Bridge Learning,0.457,0.896,True,True,None,English,https://example.org/learnbridge/resources/R0244,0.154
R0245,Data science Practice Lab 245,An original beginner learning resource that develops data science concepts through practice quiz activities and connects them with software engineering practice.,Data science|Software engineering,Beginner,Practice quiz,90,Free,0.0,Harbor Learning,0.593,0.929,True,True,None,English,https://example.org/learnbridge/resources/R0245,0.059
R0246,NLP Workshop 246,An original beginner learning resource that develops nlp concepts through practice quiz activities and connects them with mathematics practice.,NLP|Mathematics,Beginner,Practice quiz,20,Free,0.0,Lumen Learning,0.627,0.802,True,True,None,English,https://example.org/learnbridge/resources/R0246,0.785
R0247,NLP Practice Lab 247,An original beginner learning resource that develops nlp concepts through course activities and connects them with computer vision practice.,NLP|Computer vision,Beginner,Course,240,Free,0.0,Forge Learning,0.882,0.854,True,True,None,English,https://example.org/learnbridge/resources/R0247,0.72
R0248,Python Workshop 248,An original beginner learning resource that develops python concepts through tutorial activities and connects them with statistics practice.,Python|Statistics,Beginner,Tutorial,480,Free,0.0,Circuit Learning,0.871,0.936,True,True,None,English,https://example.org/learnbridge/resources/R0248,0.278
R0249,Machine learning Foundations 249,An original advanced learning resource that develops machine learning concepts through video activities and connects them with cloud computing practice.,Machine learning|Cloud computing,Advanced,Video,240,Paid,59.0,Pixel Learning,0.978,0.852,True,True,Mathematics,English,https://example.org/learnbridge/resources/R0249,0.508
R0250,Data science Foundations 250,An original intermediate learning resource that develops data science concepts through article activities and connects them with deep learning practice.,Data science|Deep learning,Intermediate,Article,180,Free,0.0,Lumen Learning,0.723,0.83,True,True,Data science,English,https://example.org/learnbridge/resources/R0250,0.586
R0251,NLP Practice Lab 251,An original beginner learning resource that develops nlp concepts through interactive exercise activities and connects them with statistics practice.,NLP|Statistics,Beginner,Interactive exercise,60,Free,0.0,Circuit Learning,0.891,0.91,True,True,None,English,https://example.org/learnbridge/resources/R0251,0.145
R0252,Deep learning Practice Lab 252,An original beginner learning resource that develops deep learning concepts through course activities and connects them with cloud computing practice.,Deep learning|Cloud computing,Beginner,Course,20,Paid,9.0,Nexus Learning,0.747,0.821,True,True,None,English,https://example.org/learnbridge/resources/R0252,0.562
R0253,NLP Applied Path 253,An original advanced learning resource that develops nlp concepts through project activities and connects them with computer vision practice.,NLP|Computer vision,Advanced,Project,240,Free,0.0,Mosaic Learning,0.837,0.866,True,True,Statistics,English,https://example.org/learnbridge/resources/R0253,0.297
R0254,Responsible AI Workshop 254,An original intermediate learning resource that develops responsible ai concepts through interactive exercise activities and connects them with sql practice.,Responsible AI|SQL,Intermediate,Interactive exercise,20,Paid,39.0,Nova Learning,0.587,0.979,True,True,Statistics,English,https://example.org/learnbridge/resources/R0254,0.315
